id,name,fold,tstat,pvalue,anova,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,B1,BCG,PPD,T011B1_not_identified,T013B1_not_identified,T014B1_not_identified,T032B1_not_identified,T033B1_not_identified,T047B1_not_identified,T011BCG_not_identified,T013BCG_not_identified,T014BCG_not_identified,T032BCG_not_identified,T033BCG_not_identified,T047BCG_not_identified,T011PPD_not_identified,T013PPD_not_identified,T014PPD_not_identified,T032PPD_not_identified,T033PPD_not_identified,T047PPD_not_identified,isotopes
3885,M1105T5816,4.674410591,-2.396287446,0.0418153,0.006294498,1105.039041,1105.038122,1105.040183,5815.91642,5808.14834,5818.4465,4,3,1,0,22321461.01,6781092.698,10953893.24,448408.0519,14300733.26,10030764.82,2249505.409,0,0,0,11620981.96,0,21456.47331,0,2353233.615,0,0,0,
3886,M628T5487,10.51516938,-2.715799653,0.041840568,0.067533523,627.7961861,627.7951803,627.7966865,5486.87562,5482.91552,5491.261,8,3,0,5,40554405.86,64981695.33,35841568.86,4923016.395,4639358.773,20594878.96,2286135.926,3862069.801,1370108.537,3712507.531,2293340.415,2788929.666,19064589.65,82311149.27,16389845.36,5794583.363,98652995.81,220973922.1,
3887,M617T4170_2,54.36360423,-2.713956015,0.041850994,0.096359546,617.2449939,617.24446,617.2455774,4169.56654,4169.5255,4172.60514,3,3,0,0,10263605.64,188728.0991,3370299.53,0,8677274.464,9274223.532,0,0,0,0,0,584474.332,8718869.786,51850495.98,4895781.256,230222.9912,38388644.65,0,
3888,M530T5166_2,9.077742397,-2.670614121,0.041852997,0.006870844,530.038672,530.0385349,530.0387949,5165.50713,5161.45268,5168.60644,4,3,1,0,17000853.48,73576345.23,53158437.91,91065189.18,7749093.459,15875454.32,2160890.92,13799238.99,496006.5717,926938.0698,10709276.39,375671.4248,479409.576,3716251.172,2650504.581,15296547.06,2335663.113,185025.6602,
3889,M1005T6737,11.92230101,-2.647310407,0.041870542,0.00824212,1004.858364,1004.856929,1004.859308,6737.4744,6733.536,6743.1428,4,3,0,1,43869185.97,225378813.5,813271328.6,312799933.8,267374269.1,224824324.9,1263303.222,2191136.712,0,15947566.32,138721533.8,194711.9664,11435920.63,15451375.79,89408037.22,74740736.91,2394668.052,806942.8226,
3890,M435T3887,2.628572719,-2.494344746,0.041870945,0.046590948,435.2131393,435.2128882,435.2139492,3887.06824,3882.57304,3889.66312,5,2,0,3,11910540.35,9626417.507,18859347.3,11536165.29,3314421.509,4888601.314,122061.5521,4115567.765,3099198.424,4198877.216,3527144.579,7814772.539,5974821.904,3182377.334,1773425.257,2003769.309,12405780.86,2627417.475,
3891,M636T2874,10.83741973,-2.693631918,0.041881033,0.005836103,635.8301346,635.830035,635.8302417,2873.94898,2872.53858,2877.24688,3,3,0,0,79945235.25,74765767.18,730296.7666,974696.0734,55306176.22,105250613.7,458404.1823,8313790.761,70693.3444,839299.5,12564533.43,7001272.6,595750.1198,7385560.866,5610952.779,6805874.555,2027614.635,0,
3892,M674T4326,1.97729165,2.408673412,0.041898518,0.633401778,674.3103001,674.3098201,674.3120307,4325.81428,4322.88162,4332.38646,3,0,3,0,10471001.28,1108515.563,5275752.143,5945126.087,6030203.201,6035863.902,11336493.37,17898895.81,13583107.26,3161467.525,9518687.604,13442512.94,206951.0771,2698993.851,2651540.568,4573841.083,2500822.297,100481329.9,
3893,M709T2089,4.658583744,-2.620818368,0.041902275,0.005240026,708.6090301,708.608567,708.6092368,2089.0939,2078.34836,2098.92706,14,6,4,4,3701100788,4509042680,5640840293,1128244395,1500972626,688243457.5,85880401.36,572504046.7,1388555508,879306267.5,748802797,10286520.29,4939281.105,36604308.69,165016137.1,1357881929,10604407.9,5719479.17,
3894,M381T1204,15.53001438,-2.700573526,0.041908986,0.008138346,380.5127089,380.5126733,380.5128789,1204.4476,1200.06436,1207.95342,3,3,0,0,1561152.333,5716.21291,973042.716,61212.16258,1124083.539,637765.7533,6415.443163,0,0,150554.997,37248.83065,86718.82813,8819.527169,6428.785662,201444.4963,24677.8587,237884.0916,0,
3895,M666T4667,4.449395925,2.693665883,0.041912134,0.011078793,666.3319679,666.3309635,666.3331323,4667.4819,4664.69852,4672.68418,4,0,0,4,4451857.97,2351101.94,5582651.121,2905226.448,4069878.238,2241331.806,21964335.91,13033496.98,35547592.5,12978396.25,7874172.49,4718068.081,1557164.981,10855714.22,4904166.58,3465834.489,5178658.839,0,
3896,M709T2092,4.669940364,-2.621019001,0.041914572,0.005193422,708.8593777,708.858605,708.8598333,2091.97076,2079.13098,2104.21726,15,6,5,4,2108207873,2524318963,3145181386,618299734.2,837175938.6,387272528.3,48011660.09,323421378,779051136,489129801.8,414012378.4,6454861.503,3162940.728,18155145.78,115368060.6,743138628.8,5740281.567,194027.2736,
3897,M370T4642,2.943592451,-2.332625801,0.041918866,0.005416134,369.7182408,369.7180704,369.7184039,4642.34352,4639.45488,4645.05382,5,3,1,1,5917790.368,6730635.096,8725272.862,13270138.91,2491592.867,7378296.024,316840.3353,96980.74399,9655754.694,1702166.319,3350502.872,0,46206.76456,337385.3707,2119666.71,2526860.718,84226.87143,30895.58737,
3898,M661T4765_1,2.103068909,-2.396582338,0.041920527,0.004712907,660.6302448,660.6299459,660.6307775,4764.95296,4759.23072,4768.72944,7,4,1,2,116697089,172688624.4,223786741.8,136333348,52428372.28,93916788.43,31728158.55,94044988.09,104141354,59206540.06,82375424.49,6927161.635,1945603.891,39648693.58,29486025.34,93763482.01,18894900.98,594101.4757,
3899,M602T6524_2,6.335806719,-2.591717175,0.041921093,0.005664303,601.9774635,601.9770499,601.9785328,6523.7223,6520.827,6530.335,12,5,4,3,94634708.55,60145264.05,250782211.2,107490568.6,36861647.46,59428969.03,10432313.37,1347359.653,59081952.07,50675.76518,24159655.86,1102594.675,15755476.07,4434529.427,16670237.65,1043647.714,2678485.21,749517.8456,
3900,M736T7295,2.701570707,-2.4363082,0.041922867,0.024935988,735.8524624,735.8501207,735.8539296,7295.1469,7292.9876,7300.8372,8,4,3,1,877511.4727,4836863.597,8040782.495,3562616.439,9033187.027,5782411.933,3030727.942,2486903.493,192266.4316,1673298.414,4286790.721,224342.7969,2589203.787,2302651.602,961982.518,4649167.725,1825384.803,1121186.416,
