mzmed,T035B1,T090B1,T142B1,T163B1,T164B1,T165B1,T035BCG,T090BCG,T142BCG,T163BCG,T164BCG,T165BCG,T090PPD,T142PPD,T163PPD,T164PPD
380.177888,71349,627104,6203686,7253909,7338636,28096980,1110728,3870077,1638240,2774655,5693001,3390674,1779073,1712343,26571051,3041675
380.252708,0,0,335648,0,126709,69071,355239,57871,11971019,2423536,3503092,306490,0,86957,0,33455
380.512703,50340,917148,875541,5892505,562517,195668,220167,495309,12295930,1234299,2167027,2317537,224498,30106755,1905635,8249858
380.701555,45582,638714,48809359,53194105,652402,408860642,2034241,3075821,1562601,575107008,216505856,53040258,3562553,1591544,4465560,393570
380.952419,3404811,0,384686,151732,196135,46817385,4201002,0,72713,5414197,1725900,47430777,11922685,0,0,57517821
381.202906,6088927,2547722,91454799,4936281,2615722,19908089,11672327,3489664,9802864,4637861,4372308,19973147,9105744,8700379,688605,19716548
381.855993,188533,355813,2699451,22826050,12994961,920125,36767890,323663,243258555,27298,10459250,11837939,48181574,262154011,9544733,1963944
382.180719,1091172,4444853,54158026,9718447,22557766,53580464,13442724,30026243,22607202,1176086,3433959,1982551,4173313,8509568,12266892,2644357
382.190425,0,0,0,132776925,19088383,0,21905747,0,130766234,0,0,5897894,28456608,148217864,0,1216345
382.545006,2133378,199228,2516297,2068283,1525332,6939714,2087896,707597,2367310,9118969,5549292,1006921,1455241,4632096,262995,1280428
382.550969,8607956,0,16726346,244551,0,95351485,89105387,0,483966,34958417,42349659,193915625,16764463,47380,34939,76441305
382.884334,799383,5511374,280313852,664957,1980395,1078437846,1249245,976761,3282446,1661327407,694374357,347023680,1593130,1932594,179527,316558677
383.216325,2076266,904925,3865063,21131052,3466438,12682917,5865825,1615938,16676040,632271,2720768,33931524,7884295,3747027,9424475,4949342
384.177102,527388,6682458,5323855,3406707,13051596,5716815,3850671,15261346,11364944,2696451,10736444,7292125,3738211,18315064,16995307,33768223
385.22736,215419,10079801,361694719,28182904,910785556,29724500,3138190,1580061,14637559,2112764,2468564,10031426,6697862,6413691,678415912,7885946
385.242604,0,2974210,0,0,13378010,0,0,383820,0,0,0,0,0,0,31762372,0
385.723669,3562144,1111411,12945086,0,424279,62303631,3291151,634013,105809,30673599,104596745,12191241,396113,26633,308151,5145970
386.191399,1829626,18511778,15725597,5610625,117598734,57773011,13287936,18849708,6092334,732069,53352116,4948382,2099118,4074553,37421630,5783067
386.226982,23286060,13368203,47957271,54300073,13525653,166988941,47345266,19449914,28995156,1813795,2969495,10440662,50463514,36461031,10101751,19550047
386.239674,499090,3262276,11969960,1045252,551515,14721024,1313040,4065511,1571663,10632290,32691787,8973127,521071,2338137,683023,7275284
386.53378,23419,705311,4312304,1083795,788168,833208,5686390,647950,1438721,0,6922502,23920132,3443577,1261286,1559637,11343469
386.868016,10530,284613,1976045,1323073,918496,437219,3257446,81113,1760518,0,2519698,12419334,2137748,4068504,717959,6314417
386.875162,95642,44273304,156899,241182,1781418,241500,11188991,30410271,817814,9364,1309352,945767,5293672,284855,1763336,1495381
387.166039,13111558,1687651,2636774,2757471,7299603,3955764,7749522,1687065,6361707,25276155,21823411,1500962,13658080,2134294,3476763,3737419
387.20841,10442941,1997278,68202847,3460475,13443008,79973189,4584075,2133643,6055871,92645380,58510125,55275835,14574271,2486036,4163525,42318674
387.224514,738290,25360126,42702241,5219708,10842695,23182341,4258297,27665271,19270169,43685119,49254155,10107693,871965,3368030,35139724,12288674
387.529504,17885,3808371,676764,2350164,879018,12519,2005720,7360572,43099006,16224,18013357,378979,10600522,5918988,1952378,165271
388.208494,11471050,6323549,7727822,12633205,44774354,13825770,25859430,3764524,3081838,7828980,2732406,88060972,33136698,2005919,38999177,65351034
388.222681,1839665,4866389,9622523,90100,7214367,5172494,2848471,5361322,3914786,10547933,10160791,2605062,3165007,1014223,107775209,3831133
388.242878,473081,2751010,11842253,34053179,1566710,13345295,1102306,1450045,179394391,60044330,38215899,54390334,878368,7185279,5510544,32901256
388.727311,7299355,88905,344342,403442,92303,0,8473445,176034,130800357,0,4812061,10148823,14678773,1225567,103398,0
389.229045,1276769,2590542,855647,3581896,2601490,1028787,2832212,11625179,6621837,1125803,701014,5609236,1609023,17938926,7274940,27611299
389.239317,3183973,55501248,6800678,3127099,2017291,3259059,66482867,22656140,4497049,10096585,6522219,3127116,13113699,2197444,2255255,3877178
389.257592,5404122,3345183,58881498,76145774,298117772,315412097,5617462,1442319,4371810,158708108,286374065,95197789,38274001,804316,32882474,298622571
390.209597,763645020,943297,17641070,2578882,887918,11639370,3428951554,1038021,2091310,49068848,39070215,8505817,1435970760,2620780,6271093,4021585
390.258435,1862266,1257383,5220010,843948,0,14215773,5178817,1114752,0,35296632,59398916,35948693,1129455,0,0,27292537
390.25851,173227,3571348,2308686,0,0,13743058,513172,3011867,0,8378914,24564460,14068452,0,0,0,13637111
390.258552,0,9047442,4307893,0,0,10213364,0,8073253,0,0,27036628,16382930,0,0,0,40943976
390.258898,12746161,100654,7376003,3143279,0,25313249,417322,83952,0,18488155,41363735,58999799,32492,0,0,25177069
390.259011,45916065,64721,5221686,4695720,0,28951837,76232386,0,0,19951651,49554198,44684813,2827320,0,0,32111658
390.259542,0,0,600865,5175009,0,37234369,207424,0,0,3662941,0,0,3428995,0,0,19926133
391.193262,2717247,3658335,0,0,0,0,798663,3213382,0,0,0,0,2774169,0,0,0
391.195141,5000247,4279365,1801408,1668236,7809354,1263490,412450963,2126023,1286975,271351,17794336,83621550,358161287,1608407,10672920,7541690
391.196236,386168,58006305,9147409,72699660,3870543,2006494,16652659,318512775,2718946,468262,17195463,4763215,15390473,3025640,9025947,528555
391.206175,1672098,1354608917,33852993,20622207,1750315,1425100,159955017,76523863,639088,335299,199495234,878765,12403526,8886618,8343307,564492
391.216757,552179,7907930,252331145,2800044,62744855,10822279,1534557,3502182,3103288,208145825,12307869,26802633,4048285,5508098,14372952,8337988
391.234033,4829417,9310375,2022462,1360192,7687997,2285006,8771927,1159687,2091897,13970250,10603375,592187,15204236,7935614,14000713,1222964
391.529147,111847,32589953,5408217,2901922,2545530,1385731,24354163,193995264,2535534,36284,10810570,1807549,10401890,1968335,6486311,1644317
391.52931,2738031,208699,637946,177931,6608881,721297,260637078,1536705,479077,61807,10130840,54697306,216971668,510447,7304562,4292111
391.729608,517104,172654,3880442,457998138,11032944,1202885,62271637,637208,6689597,116273,19613656,50834644,6393262,679528,8016799,6276580
391.862801,584785,938709,637763,121673,1811546,265870,121136969,458603,317567,16011,3446746,20510675,93963073,572195,801027,1837028
393.208199,6924891,24556872,2636652206,53914657,13148157,7614844936,11875759,86294512,3911231,7093932806,11223445685,5617775386,13628104,6064741,28596105,9408933393
393.863227,70994,2278722,11388348,1274830,2210895,1674370,6222509,1908325,34481246,326239,8805800,15910165,1853594,398755,1169009,4284146
394.197533,86904,1527975,9960016,17590475,5693066,4806505,3549597,1294022,16997448,139655,6373271,8775684,2211277,865966,9161161,2439443
394.875548,2791590,4457984,2238832,536474,2938750,11374856,13164190,2326783,194928,6796325,7473917,42885320,21265225,833679,4603629,147136518
395.213779,5051270,14411111,0,0,20778803,0,0,0,0,0,0,0,7225681,0,66867602,0
395.222144,1180946,21012846,8355317,277921780,23114415,11486874,4718523,69556109,147785451,1765133,4685161,8950064,2966331,10658239,4673462,3949800
395.227172,4051907,9523607,93741408,12446361,24225419,14896025,8617810,4439277,8295731,18350471,29403813,37746641,5395080,1523895,55287047,6346850
395.228886,4236526,15438879,81093822,5751042,9060487,35612942,10906861,15407010,37174796,217495990,52966439,14409662,5704354,79470061,16988011,28703996
395.447543,574697,22265,113890759,0,145392903,72552043,119167,174971,0,18831262,47648765,96447,155365,73372,11334763,104683
395.447606,156343,106672,269059,0,3741910,0,39956,246243,110345,12192719,3194136,32490898,54139,85241,14945622,63988270
395.698332,15244,768888,94189823,97872700,128398763,54354284,4017839,895325,55180768,21029697,44425997,218786,5786329,4526097,12522213,778371
395.698393,17536,187142,26503726,55707896,69532897,30737132,5393947,265181,3393909,63831605,71802521,272318,8295777,2792773,13770668,333897
395.716423,1702342,306360,11975333,21180498,2346661,641727518,1601557,237748,105751513,18007123,50169714,387378119,1763038,302932986,6664906,526486480
396.198466,49296,12204914,8243194,13687139,16800166,2677946,2719771,3510957,8560389,16644758,17636602,5819079,9244325,1028936,3840053,2044391
396.208509,10210013,29030726,81009735,28028081,345838566,30147839,83963929,36626095,38423733,16647763,9331740,37753431,31424110,7955873,335199052,92812071
396.217813,1419998,39279994,2519278,10055717,1344515,54148932,4681082,26432041,10916680,4214058,6537163,21208071,2564300,13013189,4563472,93926945
396.228593,3842882,5894704,5102060,1452460,8451374,501311,3996754,1653416,347511,178869,676523,26254106,1484790,197106,2663546,1919596
397.888263,67020,47336,1725427,177853,1426785,29790289,125089,1275911,741548,21784643,6767040,71539526,223082,508635,61254788,46787085
398.199859,151937,2025324,2947590,803996,47469852,8185877,850317,1257100,2039958,7161253,14434738,2023249,1728182,695005,928482,2128006
398.239549,1550418,275751,10313818,10948526,1188640362,1060116,6346683,1020971,20522333,1524440,241817042,549092933,12912473,5190989,712570592,154800397
398.700624,2789304,2340468,25382975,109521816,4933596,4530600,22486332,1723853,72954195,9405303,12607985,11950918,36775589,50498102,4140699,1469057
398.879459,2367397,618490,781294,0,406327,10873449,4770729,371164,70865,7944797,4807300,14232434,1099719,49449,1447623,4323385
399.218864,688939,30894314,1477414,0,0,2697417,0,47448731,0,1061436,25014372,0,0,0,90980444,0
399.547102,0,0,91241919,945696,34004745,72418371,5131296,48849,952160,18926,30482662,3075089,27130,531961,15646504,5853556
399.881433,52259,59342,59023740,701843,22308521,32486614,3441209,369995,17397094,77791,19988810,723419,4849201,26184846,11284645,2230613
400.215983,264556,705870,20503085,25313284,9342532,11975823,1953588,1322298,10778609,769826,7517106,2070305,3525986,16383984,5340278,1876071
400.720747,8316,0,628323,51931640,11921984,4126207,214096,1292160,16581334,2491591,35581520,2460768,273332,228084,172756078,7479178
400.735559,452047,4345916,6531328,27398622,13299974,0,38935510,2188379,13143485,59003,3505317,25075322,53105454,2580951,9857519,4515404
