mzmed,T011B1,T013B1,T014B1,T032B1,T033B1,T047B1,T011BCG,T013BCG,T014BCG,T032BCG,T033BCG,T047BCG,T011PPD,T013PPD,T014PPD,T032PPD,T033PPD,T047PPD
359.841616,2448780,15235967,13324441,9039164,4880396,931791,56523,1874187,262639,3126330,4787288,0,72992,82978,1145630,3692049,320340,0
360.876353,4501216,14336445,5032815,3441527,12220233,11394088,83930,4258504,2186591,6888268,8862367,898035,2322433,4411595,3281024,11572967,4906681,1730630
360.947069,28871307,26467737,59218351,32063858,10217985,32306395,762910,5718917,13919196,31416092,13356237,397097,79276,1703387,7776578,22599411,42362,480453
361.197602,13556321,3975954,3347197,6478567,3236082,7440368,65840,14534918,28544472,18032827,17963415,11058796,701013,4111184,6121895,13862658,1514572,81742816
361.218887,7904658,1833193,2250137,3037572,12209326,5214999,1527610,390555,385187,1406944,790125,318779,2269379,460246,4603509,4203818,472913,111087
361.448549,3542656,1878549,5457354,2548266,644108,6243758,54437,556839,105192,4341270,761225,0,8955,69194,206008,2478675,0,18614
362.709263,738760,154408,1275489,441466,3108008,1214396,0,92460,9212,83809,18582,16263,0,0,117502,641732,26557,3015
363.841012,16042815,29075566,7217911,3179565,8767436,7825616,142934,4398657,4998815,7687111,4876668,0,0,105956,878299,5492985,0,0
366.177066,1864357,3120424,3449102,5688999,1514369,1586085,41702,510299,1791418,1928276,1213421,1710595,5884032,1259759,1354707,595820,8758872,64285
366.185438,18253,12510,23699,18700,663096,900353,0,8749866,115807,3230584,4749860,5672901,46130,1634106,106792,153085,16195,3835
366.691963,1955680,1321200,5537899,4849739,4574351,7910058,5886,995191,147722,3772176,1565656,1946328,30825,857037,1079044,3414719,23500,561746
366.939398,3188371,1792627,1640017,4270239,2610400,4351274,8966,391614,21408,171315,3318872,1210369,104885,974775,751769,4217761,112414,5638
367.197605,374378,3411780,3223217,10155159,6833156,17444637,2785,1092680,27668,4883277,1476167,1863787,116256,839310,221780,35452732,42027,22509
367.864862,229557,1507322,2427970,1453369,1665371,6046838,0,350229,7681,797986,498808,223398,4797,913457,185292,309889,99011,170614
369.173226,226646132,94972849,363841571,15012582,77195818,33670421,5768407,23998327,36036881,11495574,30623721,8313085,2215786,15423701,11094927,29062587,5943676,6771131
369.693898,3201028,273429,2690596,1747013,1001921,3186438,321336,8658752,24139255,4448955,13438336,6872101,1668049,9327410,5288416,11409081,5162597,3247159
369.734616,30834874,19102549,40379070,27248257,14444239,26472227,12580,11387498,25844,30249648,11497497,721976,74386,231382,10027215,10573139,89820,36316
370.840215,5865360,2260538,6803036,17502943,3454696,11754917,17077044,30298660,12524649,34207556,25940459,0,7566182,20185088,15730632,11501787,17776210,9399781
371.227858,296307705,29792834,208476938,24786324,50436206,117168689,2254007,24523695,8559264,11366712,4945645,72743174,2383311,12710133,6086724,26797825,4401311,10587068
371.524406,2079216,1813000,1979582,912824,2849885,682821,0,61946,0,356794,2320849,1423325,370376,421829,3296141,490463,758487,16397
371.869041,24281329,9946600,33525152,4119983,725815,4977492,5717,243971,19426,2081648,410710,0,9189,0,967242,2155202,31942,0
372.180056,683425,1033792,764752,1644126,488541,1682058,2970441,1093624,2998411,2658166,2176882,2488050,1875764,1510682,2062848,2309310,1696393,3165277
372.877968,8232138,658058,9067198,3414384,1877497,2254240,20393,589722,0,2810526,2281588,376067,4726,40490,1634782,2018922,16278,109140
372.972472,16088083,1953228,28369733,13429338,2301157,6382199,95754,1462971,4159,9045516,2751975,49960,43601,150496,1722694,7164933,0,0
373.199123,39723317,26931828,8564010,2916529,13661640,11539289,153326,2723104,147901,3157152,8922388,10179113,33321273,33145842,21536303,2583805,125782758,166615301
373.21932,5461099,3143630,2184063,4809063,1882652,3971033,1644229,24480661,5048335,8960002,22071615,11957212,2320848,11246025,10020161,15893559,8211424,7137958
373.244502,1921323,3003059,3482248,2707800,1008970,839348,463148,11215499,534392,7731111,7824074,13353932,796246,1552590,1862191,18007163,502026,1739352
373.449841,32791548,30383651,7755242,72404,17979469,9081733,14232,1251280,224212,1864720,6719354,418900,30086135,30402371,17019580,190282,101534446,132972075
373.531654,2546966,1964615,4327826,3395973,1057803,2537694,0,3052561,0,1819551,2165653,0,368674,335328,595435,2282123,1432595,0
373.69996,15010672,10279231,3055718,1001240,5245509,4139492,3245,464161,208276,605703,2931950,667835,14917609,16040700,8400719,1745371,55404645,72018486
373.743888,9655357,5093725,7992666,4240462,2276650,3920300,21907,0,3012519,2222339,3040388,754672,107797,272836,2234806,4861023,211462,924790
373.950295,5621567,3867116,0,554826,3551534,1980510,42167,208152,4587,613285,1527961,1393205,6169015,6213611,3117774,303909,21595161,27794792
374.239708,6965223,2774425,3362599,8874856,3599170,9843734,933570,13825388,27891841,28623618,46154851,6240116,1517874,18676344,15203554,10860727,34483850,4263127
374.500146,6460644,3018994,12747708,3759452,11868660,10169983,2057895,1873137,1815827,5890129,6439379,868455,9956178,1637504,3231414,1874612,18447929,192328
374.544593,4690052,7470227,9480997,2857880,2211521,3613129,195080,547060,146171,4247349,1866712,3835569,22323,83219,814642,1994550,30022,51828
374.692625,1436788,1010737,2393756,335315,2147571,586005,0,3280,0,191892,53101,15204,0,0,185409,47557,0,0
374.834442,3580849,1601353,6819394,2122979,7345102,5302287,1181844,759077,335613,2561168,4442281,70447,12470,114703,1365727,866873,41443,27530
374.94332,1154766,818076,1709906,253274,1263785,505471,3441,8373,0,107008,28955,10256,55430,4379,165298,58366,2123,0
374.946216,24952275,3715227,42241884,12897179,9453834,14121028,359563,1337631,12543774,5409664,5403067,789982,188209,1168883,7264678,4807778,477227,22848
375.194371,318450,257278,701485,148240,1151219,419205,3081,38093,60723,133293,109594,171017,42468,40495,94869,103414,3324,89085
375.234734,1941449,268978,1902844,1032450,277584,869617,6092142,3485985,14915195,5081390,9134030,3408279,1583767,4996392,4672753,2428937,6130829,119641
375.716364,41170034,48887910,91776554,163727058,18381807,61676422,0,8591679,34413635,54882841,12999738,7557138,349160,991103,11564497,18728875,266854,55634
376.525749,0,0,0,0,38367,64412,0,826713,0,1254404,1286251,474314,0,65374,12539,8855,0,0
376.844062,140066,147149,306876,1206981,192902,1161047,1072120,1795079,1106832,2954349,3086326,0,1374386,1784548,2124883,2244947,1406685,0
377.586404,17766995,12157867,38317742,33154279,12105501,24030428,1244599,11304419,6368,17849542,15983075,261144,908396,5045252,13086,24162000,1787623,6395
377.58653,26835309,15412475,42567320,24931519,13597160,22759926,994383,2300176,6664,4923730,1991183,1512887,429460,3753667,1988821,14565741,1572455,6510
377.787041,24450832,15304419,45786739,25744133,13794083,22699979,1085283,1812158,0,5714445,2583903,172433,439705,3638105,1288905,16879324,1498999,12508
377.87676,107675164,90779192,77717631,80929772,69885000,80584618,164728,47140113,1519750,21608078,73851783,878593,191418,7615721,19298447,26829337,907729,288351
377.987577,15587628,7631745,26245649,14259054,7152943,13023986,604589,1143119,7221,3155543,1375764,141488,200011,1887589,904064,8784228,770641,147709
378.545368,30931122,8648342,13459095,33696161,16699199,16287216,14265,15001419,4621332,4676238,19034457,175158,50853,1653618,2779464,3913791,530220,16961
378.87963,4646657,1693028,2648146,2155492,3369137,3966151,4879,2497705,22509,825758,4084260,0,3204,135188,479414,1066323,12907,15985
378.961419,14642571,19367242,22213554,9368820,8193606,14400754,969363,7108191,20213386,5446297,6070447,91935,153675,97623,2051776,6095160,571146,40984
380.210276,1256601,695788,1692909,4592194,278881,1338986,247002,13514662,14045759,5406698,17407164,3902448,303919,12952298,2670999,19077407,22370649,3195948
380.216462,2407349,1604182,588622,2111907,18359033,16228430,8707,47046205,463243,39244538,38356230,50066146,1306359,25408614,10665642,14058365,940170,327005
380.512709,1561152,5716,973043,61212,1124084,637766,6415,0,0,150555,37249,86719,8820,6429,201444,24678,237884,0
380.955582,0,9311494,24235960,12206432,5390225,20862384,0,1238464,24107,560714,5968255,0,12652,2021641,0,6504302,111233,3591
381.192435,3664113,7251453,9961635,17974870,4093643,12625635,5414,2482388,66713,1746011,6264341,1188141,1503554,23457001,2517681,4404326,1873693,187333
381.206233,5124588,4554662,14257463,17110596,4056437,14257632,5390,1400635,45496,1323160,3914383,866838,1081499,22483372,2430940,3307737,1916662,156461
381.443056,2918319,1235315,2908404,0,4126349,10324302,176156,0,174569,0,268576,0,4566979,41411531,3460636,43525,3377805,159310
381.738625,5923844,4369113,3108738,4524048,7278887,9304436,23889,490529,1802723,2313361,4497244,2349803,465900,490140,6440193,4203481,1890438,2221974
381.876686,535462830,363366448,975656958,450571154,216740599,353461232,3111071,182669252,112519356,307287807,306537374,9194159,4591573,53224603,117862017,162729265,8942450,3347105
382.210863,332784840,229210604,641073296,271523450,128302995,218882862,358001,112200859,713378,187426719,184546178,17949596,2981953,31543502,74409683,98602602,5890042,4482442
382.239181,5707942,5364678,993963,4424545,24023902,59521760,16601,190771424,1094691,129236530,116779721,252103609,5611103,56453106,67964542,103194930,1385388,373547
382.545071,115726496,57634356,215386380,95912610,45841331,78453086,626807,37731704,261654,68203249,65674817,926100,946531,10639755,12911211,20780489,1758931,132344
382.548463,39491,52595,54510,335535,100469,215526,0,14718915,0,1797256,7636229,7924538,129741,189287,185377,1284510,0,0
382.561766,47196,54976,3770,0,1008645,1124628,0,4654317,0,4885782,3436414,4235495,34743,533329,2651350,272411,53778,0
383.180069,110009,77144,36218,41894,484722,578730,0,6023415,46110,7059227,1982984,2254489,202932,504586,111130,196673,6398,74193
383.202698,9286769,9209568,42623724,19074453,22066186,51097342,1483621,8330422,12686832,7713243,11020441,9913091,6135285,52978351,4330651,7121489,29744187,4490575
383.215628,5275154,716384,2063194,8073503,1519953,2243783,4279783,20237265,6864889,7745860,23169735,2999536,3126570,16269607,6998417,3731949,8260702,20177551
383.444363,122654170,4715201,28425798,96500,28459630,112687172,573601,77967,536836,122643,4127704,0,50572692,192971258,49517521,242995,42888460,265971603
383.599508,144375,172638,142536,512165,191748,451855,105729660,79627179,106266,3001946,71887372,4855799,52346480,58622000,681328,1267881,76360722,8552944
383.690083,2068068,2521602,923931,17765901,9123394,33832287,6462,259306474,784219,72120001,155929989,155125742,5549352,56225121,15873811,115068747,1371594,2373034
383.800026,687355,97103,79759,264299,74018,36153,58873481,57500834,22657,1618751,42439644,0,30923676,56428419,0,1041882,40828500,43704307
383.945133,22075228,3560600,11420232,1799828,5594433,19909614,92974,1820626,354407,2384418,1268586,1572208,7577105,29969602,8066185,2308727,8533435,40463198
384.227891,82898555,49746878,80642190,64700921,56741853,96857928,12021,7267664,45736882,32793544,46539124,9507399,1849101,15083224,26676278,52546861,2039657,1016934
384.507454,7522300,1431556,15948851,671515,461095,14155478,0,300349,13468,408197,150979,981156,153499,201281,1363694,1858956,447687,0
384.532794,6860468,2133260,3961705,3968451,4587103,3531149,9147,3111802,1493546,4882398,2497385,1519862,84282,1379527,4134978,3831843,1373754,94800
384.562419,92285702,26931167,88572358,75027053,27569171,51266442,10994,4910939,31310433,23559580,37957789,8533404,417287,9078395,18279007,40773541,411644,0
384.934649,3353,9373,5543,8211,49124,108990,0,3079091,0,5626395,6903302,485182,1255210,61423,18314,8172,5279,3370
385.200923,967462,237813,353110,2210011,169906,313541,853533,11645823,8795580,2539303,6589914,7423221,961251,12070547,3137843,4336964,4233649,3302269
385.25544,141724,1043565,46298,2811410,14844761,6780683,34301,52023483,66455,33101947,29446730,37324258,2942736,20833307,2270874,2262945,64199,50018
385.869604,11343542,1749738,20728494,15639775,11805966,6512425,7070,128860,5570659,466711,8281306,9264092,1664672,1494185,5747824,16262998,992031,15631
386.214714,177868,333981,166945,209982,230174,252341,3308,3761952,57782,7148370,2239394,4510779,61450,580624,60554,590342,31292,0
386.233696,42201996,24248299,46032132,14111264,5778645,9285742,338806,9819142,1185353,10291605,3917274,8012852,1261720,6297180,30900093,79656582,3145146,13173380
386.537618,804002,1139233,5372483,3093883,1231890,3734577,0,95201,0,71864,322516,392471,45042,257082,391658,1233924,101529,27013
386.875354,522591,412837,1321074,502993,4751313,25581388,16568,214646140,57268,97266937,111290255,72390147,1545403,187732435,3057124,1918149,354347,2384
387.541608,65624,215538,0,1592342,532501,1423438,0,11462057,0,5580463,3576248,10655241,978689,4750312,401597,8096613,3587533,5275431
387.542673,12455874,10310867,23321756,8557716,1705111,8235687,80023,2791698,334890,7981740,2730365,1149668,266935,1120654,3373162,5980101,639565,658317
387.54529,2683460,802251,313805,1413941,2699245,5822406,222025,198466,93351,1400479,708983,267264,9892,44848,710703,660867,104183,175352
387.862084,22097725,4922719,27100510,0,4338660,11537308,4583,0,124478,92906,51343,76596,37603,5749003,337317,0,451421,429411
387.877047,2404488,1317577,6984787,2405894,358039,2722368,7663,341716,318165,1483041,710898,401233,11462,324648,859008,725992,29439,22124
388.182124,3199386,1923674,3875774,664430,737766,1625525,26473375,22177540,5004948,4823744,10644821,5184974,4854486,21188445,3792904,619875,8284095,3035263
388.707205,281034,1061171,391176,412054,1138757,5620556,32964,179316901,107727696,13412210,183892287,214484063,79896,225337564,22076773,30346610,456389565,132998665
389.208854,2031556,3232588,3747250,4263102,2330404,8124606,343067,68185816,40853105,7308654,125675618,64877947,580016,102822532,15782063,24351513,250043560,25080832
389.250539,3405475,1100218,10219583,4328596,22070441,16393748,196397,242540,25727,143957,1190810,263957,15654299,194758751,11170106,1893695,49529432,81966700
389.250631,167073,53238,119217,0,1312515,694942,103834,10775180,190197,2094133,7827266,4935294,73613,112775,379874,839589,132333,184731
389.399734,1646224,10359819,11675950,3638102,1813179,1619265,22300,175979,26311,3039891,1498923,61818,22878,216190,38215,2796928,75586,6794
389.568145,43538355842,57769914668,43327021370,24309415069,27602439070,31053592543,196660853,25224754703,5999,36304993096,18873858966,323614367,103836229,728911438,13633132525,16335345116,242287610,10058357
390.202311,295686138,130851924,209576825,87079521,60826905,420782717,699690,7496134,3671485,37864048,21100896,15660279,2553190,14154028,39050523,89332500,1434155,2777140
390.243193,30841645,67917862,66770083,33800775,13906808,12045584,177581,25103109,1079225,20988926,17269997,7696357,4434011,16184404,3939023,20615866,11325390,27456241
390.570264,3346463123,3265086091,4969869049,1592143161,1577957585,1539710823,9553960,1473132339,2344176505,2334691079,1128028027,396587358,3824140,42083059,584166243,959613099,13247654,0
390.703894,83581693,40089969,4414137,46061127,15121523,112563378,0,2244569,193547,13942845,7648568,1545139,518936,3788660,11436178,60903917,277246,17848
390.878222,3515474,575488,1836787,3326171,546089,2232548,0,531378,2339,775462,541033,799348,29112,60128,154761,2922544,94486,3003
390.891098,4809929,4175271,808072,6931595,2111417,8752968,61619,4458481,592720,1265268,2716237,295209,80415,0,1715592,1420168,951041,0
390.892337,11927445,4216309,8742636,1360125,6873218,9955505,0,2250733,9359689,939381,3791756,0,11361,318831,390248,461191,61019,53934
391.201695,92295865,38034573,41433699,22927940,7241475,23620106,1316365,6659534,12691402,13866789,5094713,5380733,133275,2215520,4829197,6852285,979681,9255030
391.760208,49425961,26879321,54803730,94394090,63953583,53418811,819538,2963805,0,91573530,33088820,0,62274,126864,11136605,7361238,116119,0
391.869991,23394433,8631832,17449319,4482918,1112266,5892536,210440,335485,2756389,2585692,860556,0,24470,20288,860440,2821311,280497,852777
392.261952,20226073,34320596,48040014,41479462,26755060,23705662,23503142,10199451,22577064,39207815,13559450,15508018,18523071,29557072,4476545,11442414,25919542,26399097
392.71536,4605628,984024,2517982,2814434,1745832,4589848,0,292834,503223,2036797,3602152,300527,48337,190182,2445170,1586783,66030,59759
392.755557,3386475,3239327,6775078,8733193,3715249,5734300,11613,78995,1011981,4558191,4695228,0,88227,100867,3199738,2667303,232974,0
392.763373,4254373,7294548,0,8225904,6386234,4815296,47544,1571279,4426388,9515959,2220644,51849,0,0,280270,576256,0,0
393.207062,759152,859666,1064928,3129485,795424,9120938,6917,45883945,32207,13858037,23774805,39324093,1018276,8858758,4934177,18444767,460708,13357
393.209064,196667299,60723355,256489270,332604315,49238846,67797679,190347,7847942,1454283,22924631,23057143,5780577,614799,6385706,2495864,26113267,1824300,931318
393.219854,3691134,10960933,19184040,27370924,12796507,15459658,331988,12761644,2271434,5559026,15210671,1741469,724721,7697093,9622267,26074587,2353833,210959
393.249161,2710137,2070376,8816312,7618729,1539916,1022348,1745922,16299249,22298220,10631391,30475056,15033342,508376,8100074,2623381,12893462,2647396,1405321
393.398286,6055876,207559,4552523,2462020,917517,5903694,219718,0,95019,1932635,197607,236272,74829,523933,68199,10678101,916877,170849
393.458403,4806541,23927762,9755083,4242125,8988788,6299683,258968,219206,138680,7580527,545233,312812,62425,160113,73503,107289,0,90548
