mzmed,T051B1,T107B1,T108B1,T166B1,T173B1,T176B1,T051BCG,T107BCG,T108BCG,T166BCG,T173BCG,T176BCG,T051PPD,T107PPD,T108PPD,T166PPD,T173PPD,T176PPD
618.345737,26534979,30810465,757123,149198372,13652190,29487296,0,32165445,570238,434087,12005069,22075290,65469,3904822,38235,25660701,945535749,35281215
618.807695,8240452,0,4585306,0,228199220,347658,23083,149261333,4153,29118,543002,94416825,0,47594,8055,0,16653729,25487976
619.304374,30275383,9400988,48164282,5321229,4896073,17780446,307984,682526,2147784,1358860,1562993,732545,1085402,596984,2427474,1777118,7021030,467103
619.308934,12641387,42455197,1532800,25927059,63611512,32162148,0,15028772,9309,1848120,53084497,19658391,3222,1717440,2144,4758937,12938290,8738353
619.348705,0,4514262,2589178,0,9941727,3792777,58756,2349784,15172,443511,1964502,0,324254,795201,0,2143765,50266868,2140500
620.303535,39580279,4564103,105657235,490159,14614329,5284985,14605262,1904485,27928866,6125420,2325508,2140104,233222,1402188,13285312,34879276,19484789,40989695
620.830347,6693086,574093,232763,73008,3380980,15938132,277980,25158950,25164895,72675667,31334079,13101687,61664660,30216280,37404782,1114161,12491434,180521
621.304435,470165,287490,86790,128331,23888053,867135,3853,49072242,82956,26996512,1745886,8217202,18934,15764920,0,5667686,6435579,253442
621.315865,883844,6344546,2645130,4212461,958234,21280821,111291,468051556,159366,366156701,22189107,54860851,180476,671661406,517446,1626834,24245795,18416719
621.832942,1214216,0,0,1853388,2733752,0,249699,4728441,33919784,14832797,6161968,19718224,70942550,0,52505977,163006,0,503058
624.306663,18170473,17306028,5085644,6952876,2276504,3474635,29132,3901479,88122,1000371,5562420,450235,27451,2978702,0,0,11714355,2192187
624.308707,2917674,18230544,40643511,6105745,5685902,36559759,764998,2962207,1283263,5969024,142584791,8461009,1533410,612187,334071,34083735,11895663,6525411
625.378443,176201889,43250892,347716820,54043530,59920131,0,2678,239571,0,770096,0,0,0,1456528,0,0,0,5667597
626.380066,85191016,7872769,0,9625712,4291005,0,3471,0,0,0,0,0,52917,0,0,0,0,0
626.53205,356492,0,275774,0,0,0,0,16584208,0,11092291,7239333,1614657,229387,5243543,211140,0,3939803,0
627.299811,1165228,3563681,41554,256710,41481857,1330723,20886,19789330,0,5662431,913104,22115288,0,8171243,8436,1057643,46783150,3245330
628.257624,45158888,628371393,180585912,1749463561,230552070,584368821,321720598,20222573,2431550,30741414,2570625064,90002856,3250631,14478098,3271555,483991239,35083258,33795207
628.75889,41628717,417498513,237250390,1218031953,122407373,468643900,420862811,6761914,452405,7948972,1895110978,68419994,2521571,7883722,210808,536790494,63707848,21378240
630.290991,5443344,21647283,11745192,3963053,6411259,28864349,11624,1606918111,157151,390443602,5538970,558838569,399177,77396837,3829058,500671829,89550270,33287214
630.79238,3561215,13809252,6497419,1798232,41266087,4760992,7756,550958900,0,135703749,1293888,178791444,125005,18121852,463573,1575245,27421738,6824429
630.819844,805441,438627451,4581133,17487360,143451728,2777562,1933722,573269,38419199,467516,306824,774540,102246731,775456,43814700,14677616,59553443,476066
631.029324,142215,0,204767,0,3683503,1335030,59637,1291006568,63563,299142440,282326,31675652,3447505,8128790,1630079,210943,269127352,1948059
631.320676,4745399,182555908,3387452,7043157,44889130,9081537,880854,13476914,13423344,13935514,7923273,10834252,38272374,5714740,14114674,7667731,39645213,6603018
632.29469,7640460,70532219,27533649,33305672,39893420,25911597,829650,252712,565768,5777317,94151794,3007428,0,3474327,220806,4558276,66810550,18341715
632.813125,16845829,307842463,84846051,32264765,9390172,8678719,0,9390191,44862,10363111,6093684,24264754,12422,148798,0,0,5334497,3375709
633.290015,330771,326266,0,3503963,3373458,7365107,0,20501276,3244,2918002,650870,28433413,385000,3333874,20515,234743,1723235,286396
633.31479,15626342,190278590,62283467,20123967,6412953,11147924,20353,922400,210716,1066020,14334606,4892660,37580,205291,5358,0,13021833,8609340
634.939122,4977856,0,1432032,0,0,3206780,10535,62069,0,12090,6173179,261828,462430,0,4968532,402341,5403175,2513105
635.334999,19359912,11705128,6519173,1615809,45382982,3110692,1060810,54076102,4830921,36982003,4977508,40731366,33514,37279748,108664,5583863,16084865,22118513
636.320147,37799446,4120105,5825140,288545,2989351989,335792221,2375744,107895223,1924277,248342295,825797382,1406337174,7897598,62565283,1062385,10923742,207401596,5798944
636.841332,11457069,82579042,520090,2403709,4316198,26144268,465477,3678685,7483470,19756048,2430296,20439921,120044740,2435338,26932812,23530327,7217438,0
