id,name,fold,tstat,pvalue,anova,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,b1,bcg,ppd,T035B1_not_identified,T090B1_not_identified,T142B1_not_identified,T163B1_not_identified,T164B1_not_identified,T165B1_not_identified,T035BCG_not_identified,T090BCG_not_identified,T142BCG_not_identified,T163BCG_not_identified,T164BCG_not_identified,T165BCG_not_identified,T090PPD_not_identified,T142PPD_not_identified,T163PPD_not_identified,T164PPD_not_identified,T165PPD_not_identified,isotopes
2161,M441T2081,1.86980424550149,0.707913611585439,0.506160163316469,0.641733219493969,440.557876675547,440.557541080783,440.559105609721,2080.6554,2079.39012,2087.44956,3,0,0,3,4516608.18834626,0,6864767.46922047,3719929.84094584,113406.207082544,3526296.5853424,497452.754885016,23634161.3309104,976280.640563947,5998907.30267166,0,3935214.8383425,6732128.60143326,507056.840300625,63509.5150033168,15288108.9811572,11205789.0422285,
2162,M1341T7178,1.74656451824958,0.689369988307072,0.506333282657428,0.485896430643861,1341.28036655397,1341.27926043665,1341.28117904513,7178.0154,7170.9834,7179.2976,4,0,3,1,420628.579875007,83166.2434849606,7595762.9778414,75599.17153339,4164.84977842754,1683273.79118441,159238.358724915,27467.2924224605,0,4217339.97666623,6462890.08722832,6358723.84168619,76290.6095490257,0,7309.54490582699,7724513.6644477,20259974.1468547,
2163,M566T2719,2.03512291762517,0.694990592699725,0.506384405836004,0.517581795849972,565.855078289977,565.854894706029,565.85526208394,2718.72936,2711.58396,2722.8051,4,1,3,0,4582338.95096621,18458842.5879066,1264222680.99934,290027.924127997,5222947.74570936,4494737317.67892,4061645.33363677,14377829.1912816,1909882.98088827,3545429937.05544,7462545287.50784,749978112.656561,781959.716471084,4759977.23666707,8661165.01089922,7806585727.78346,8206296379.9733,
2164,M599T5667,1.44571091114092,0.698444716392416,0.506596549807409,0.463122483096864,599.071963325146,599.071085531749,599.071990940521,5666.8035,5661.24354,5671.80864,3,0,3,0,4003982.81443507,3900787.07837699,4483000.77533699,6106264.16693239,58180.0575544513,1102889.80206507,974095.342595406,4822926.83836825,508658.553085207,12866554.338421,2688226.14902757,6555138.09524882,3869534.94851813,1122034.74874771,1002066.58100802,1663778.90799922,4009240.09151509,
2165,M504T2445,1.57652047744852,0.704520591203008,0.506718936263581,0.746784466625561,504.260404212113,504.259466443206,504.261860619959,2444.81721,2442.26628,2450.9121,4,3,1,0,2632921.82331392,23936585.134777,14396333.3516597,4078060.27213614,16050986.6192333,11240562.4680592,7166890.17667269,20222016.7106176,5120397.90883596,64039702.1026606,12687869.9025961,4801440.84752521,28079979.8219932,25673985.5168092,1892668.70480119,9885695.75688697,8606784.18073134,
2166,M796T8020_2,2.65559283141477,-0.712230903705043,0.506870692290485,0.697761648663142,796.072272317139,796.071911066336,796.072712009658,8020.4703,8012.0868,8028.2874,6,1,3,2,3326649.5183941,3473403.66956594,122362827.278185,2074486.82033257,167865.860143777,6471773.82782858,2588898.44798076,4805111.92650839,6986488.87417745,22993355.453926,7753635.7499582,6791992.58845273,2527820.2456216,750258.520696762,265547.782783496,45401457.4636942,2742846.324,
2167,M759T4285,1.80933373864109,-0.703454368997119,0.50803929368495,0.678027711950593,758.932336498589,758.9315409018,758.933231947463,4285.36143,4278.88476,4291.15848,4,1,3,0,30993295.3449844,0,13748996.6752344,0,154943.061276565,4983779.30662491,10713919.151121,328336.548771015,2850121.7477428,3638337.52695943,8069327.39537678,1968677.16630633,52274222.8713764,0,0,4831729.0752737,4501394.95391296,
2168,M412T1555,1.7356810561519,-0.700143197485763,0.5081909974953,0.756302929028346,411.954795297692,411.954723811517,411.955091877567,1555.32576,1552.7886,1561.0317,5,1,1,3,11063.9606719043,41577.5943513465,15906748.3677904,481640.4044658,9051309.47657565,2655096.56632631,0,56417.5551455331,1711878.19218102,3527506.74556704,4912254.18714787,6008883.79437137,0,380191.501263038,8698377.89003255,2762869.29717882,5533099.70499407,
2169,M437T5219,1.53228669933163,-0.692511566664328,0.508335777539939,0.25384662696351,437.274471891082,437.272931879735,437.274725250348,5218.89249,5215.04106,5222.85084,4,1,3,0,1163919.67822532,7935673.60642078,27399671.3445857,63430280.0888883,449495.131374386,51556851.7480578,3374271.33411517,2007220.90352845,12204498.7663882,11208411.0854706,29503023.0196703,40858882.6913357,6295540.36856943,7010706.42963875,0,9707654.42063169,5108974.27820721,
2170,M554T4530,1.63764104508229,-0.688161702301973,0.508409754674428,0.746672450019366,553.929786993706,553.929286029834,553.932799531246,4530.11748,4520.19162,4534.5159,5,3,1,1,137407731.795099,11565985.1414403,129353688.662624,4041056.41295665,46016574.2885936,5247363.13441014,117094605.746577,1934498.5180056,784551.679275926,48070778.3301553,35061513.5627642,781480.977367098,395910426.628506,1444701.75786188,6239875.18333977,6344329.64315607,3737766.13720008,
2171,M773T7767,2.42949881579154,0.703539171763264,0.508504420726163,0.666345767939641,773.36187883188,773.36076480926,773.363684743057,7766.9784,7760.6298,7772.1756,5,4,0,1,13141991.8438404,70116020.681052,1032132.10030077,11769429.5543116,5019380.08137308,7024617.47597797,37579418.3055976,216573184.518811,456037.727369318,5037794.90615254,888217.249175233,2102846.81042085,74597202.0150877,1046200.38118086,9226273.95727312,518892.413422147,745792.961033564,
2172,M416T3189,1.95687807575944,-0.698676211959888,0.508512163360217,0.696106854426159,416.256413985557,416.256210109187,416.256421806142,3189.22842,3183.30732,3194.5035,3,0,3,0,136067210.029927,42480.8291100556,18896466.3171306,10189009.8664147,0,31453985.2478922,0,457752.26754947,4624341.74174791,8018763.5027322,48384210.9595414,39006196.0208057,54887.4444310463,1118724.01624513,18816691.6762459,36643894.8518507,36139771.2188,
2173,M621T3566,1.75368982735037,-0.692748703235181,0.508866131875814,0.363498863767007,620.764473519466,620.762720911953,620.76496009195,3566.0319,3560.35722,3567.24966,3,0,0,3,44434278.9609754,7019395.22342673,13360318.8978055,3338480.86283033,4722755.99430006,511931.046882282,22390377.6453383,5981246.06230979,11945207.8694749,340808.719606511,174926.736103039,1014719.66615007,45227377.8759633,7357520.25032211,635003.815279015,22448706.2224726,23601513.6918716,
2174,M1006T6223,1.78055270828283,0.695544470655154,0.50889938638485,0.700759785186906,1005.9738873198,1005.97354966525,1005.97659374905,6222.6534,6219.5244,6227.1954,3,0,3,0,12342572.0273821,20621042.0831903,9824733.5976066,0,0,856675.947488942,7016083.07971921,48988887.3117801,0,6092310.70160487,12288573.9323509,3326410.04771252,25941557.9474301,0,0,2784487.04380939,6738699.96786359,
2175,M541T2356,1.60584843749529,-0.69368176224567,0.508980862298654,0.398792506983531,540.834441360799,540.833564091945,540.834521439669,2355.88518,2352.0012,2359.63686,5,0,3,2,612538.445768102,48898502.9543453,11389439.0677068,4216864.09133445,1763375.74637396,38689467.2648927,1561312.62932068,3727540.45385914,3196099.04208853,23123709.9029831,8628294.34628371,25504109.2861092,3648107.66300128,478838.558724814,1955572.86463515,5989665.38262537,15349365.0732238,
2176,M521T2990,2.61551299306673,-0.70839514207795,0.509025209992984,0.686125002426268,520.857379097809,520.856884570516,520.861453326513,2990.23464,2988.52332,2993.61468,3,0,0,3,1243183.8728712,5281803.9895406,183025922.881926,1277828.2456163,169026.911090316,16361543.8662583,7893655.96058048,7519919.99746274,318716.382977738,12821195.4078929,18747219.5381947,31979843.1505976,3056974.91649362,3088620.54920967,0,131354845.271173,60070219.3732703,
2177,M728T5381,1.85408925671918,0.685008565436524,0.509122978916039,0.801998419377272,727.644324059351,727.642614166155,727.644653049549,5380.9743,5373.33468,5385.02634,6,1,3,2,128746.995216907,0,2696588.76986955,0,132960.529896467,48957346.1439031,269833.075142659,0,137754.24306743,34061564.7074414,33325304.4924113,28461778.3835501,367861.1851459,50922.6703761779,67676.1688420476,11014077.1152727,47253277.9612502,
2178,M423T5694,2.31258952031291,0.692510011907701,0.509202369284562,0.500173476914909,422.907197847997,422.906131492303,422.907818234676,5693.5899,5688.46584,5698.25058,4,1,3,0,40269.4730649878,511753.945400713,19768794.8472405,104223.484448699,315190.802049476,1083268.40391197,0,0,124460.446602443,37942028.1591138,2970950.12978289,9431360.87215418,69075.9129356778,49471.0693497879,934666.649834947,466292.427417,4578380.29921667,
2179,M559T2950,2.04565142979487,0.691674265090725,0.509227776288919,0.3588988965268,558.810771853136,558.807873662036,558.811218782172,2949.67344,2939.98014,2955.195,5,1,3,1,1351130.79447685,1275725.8623035,147847884.085272,4327371.70735731,199574.258166155,41403003.6264625,1285891.4601689,1305802.73449629,9998190.7028631,126447882.297058,259034104.399896,3703664.00576247,2433735.60955078,3231492.53903095,93987.2411315428,1240970.73794072,3182696.99014372,
